Performance Parameters,Stage,Average,Min,Max,Median,P90,P95,P99,N
E2EL,total,8220.4 ms,8162.4 ms,8278.7 ms,8225.2 ms,8274.5 ms,8276.6 ms,8278.3 ms,5
TTFT,total,8220.3 ms,8162.3 ms,8278.7 ms,8225.2 ms,8274.5 ms,8276.6 ms,8278.2 ms,5
ITL,total,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,5
InputTokens,total,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,5
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
OutputTokenThroughput,total,0.1217 token/s,0.1208 token/s,0.1225 token/s,0.1216 token/s,0.1225 token/s,0.1225 token/s,0.1225 token/s,5
