Performance Parameters,Stage,Average,Min,Max,Median,P90,P95,P99,N
E2EL,total,8512.1 ms,8391.9 ms,8612.8 ms,8516.0 ms,8578.5 ms,8595.6 ms,8609.4 ms,5
TTFT,total,8512.0 ms,8391.8 ms,8612.8 ms,8516.0 ms,8578.4 ms,8595.6 ms,8609.3 ms,5
ITL,total,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,5
InputTokens,total,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,5
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
OutputTokenThroughput,total,0.1175 token/s,0.1161 token/s,0.1192 token/s,0.1174 token/s,0.1185 token/s,0.1188 token/s,0.1191 token/s,5
