Performance Parameters,Stage,Average,Min,Max,Median,P90,P95,P99,N
E2EL,total,8264.0 ms,8220.9 ms,8365.6 ms,8248.9 ms,8324.5 ms,8345.0 ms,8361.5 ms,5
TTFT,total,8264.0 ms,8220.9 ms,8365.6 ms,8248.8 ms,8324.4 ms,8345.0 ms,8361.4 ms,5
ITL,total,0.1 ms,0.0 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,0.1 ms,5
InputTokens,total,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,87039.0,5
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5
OutputTokenThroughput,total,0.121 token/s,0.1195 token/s,0.1216 token/s,0.1212 token/s,0.1216 token/s,0.1216 token/s,0.1216 token/s,5
