Performance Parameters,Stage,Average,Min,Max,Median,P90,P95,P99,N
E2EL,total,6907.8762 ms,1044.2202 ms,12838.0224 ms,6775.722 ms,10721.0435 ms,11855.4163 ms,12655.7874 ms,24
TTFT,total,6907.4916 ms,1043.7467 ms,12837.8271 ms,6775.514 ms,10720.5663 ms,11855.1906 ms,12655.5896 ms,24
ITL,total,0.0227 ms,0.0167 ms,0.0306 ms,0.0225 ms,0.026 ms,0.0274 ms,0.0299 ms,24
InputTokens,total,27161.5417,8192.0,65536.0,24173.0,62776.0,65536.0,65536.0,24
OutputTokens,total,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24
OutputTokenThroughput,total,0.2003 token/s,0.0779 token/s,0.9577 token/s,0.1477 token/s,0.3112 token/s,0.3634 token/s,0.8229 token/s,24
